Molarity,NaCl,Sucrose,Arginine,pH,Buffer,Concentration (mg/mL),Formulation ID,Base Value,Predicted Value
-2.8918141146964193e-08,2.5298852714448943e-10,3.1792335248123717e-09,-9.347943460746361e-09,7.516649313013759e-09,-1.3164551075615794e-08,1.3539361971651156e-08,1,3.012718037819096e-07,2.74329401435205e-07
-2.9536241184436856e-08,2.3852967687719086e-10,3.1861945329700324e-09,-1.0200372840576796e-08,7.272935361886471e-09,-1.3412723427510636e-08,7.594387255057846e-09,1,3.012718037819096e-07,2.6641451315617686e-07
-3.0386297867788745e-08,2.0629833386653225e-10,3.1715348485212083e-09,-1.1735421146110555e-08,6.713045771560119e-09,-1.3745419104203207e-08,-4.523487109806879e-09,1,3.012718037819096e-07,2.5097205750794806e-07
-3.0657785932736776e-08,1.723388393695148e-10,3.1206106696030405e-09,-1.2920997924639655e-08,6.104340586900437e-09,-1.383409234061797e-08,-1.5943480943630113e-08,1,3.012718037819096e-07,2.3731273673615805e-07
-1.0693797491416889e-09,-4.506958599929395e-10,-1.6936761701379942e-09,-5.7441453315843737e-08,-1.0164523354700791e-08,1.3630254141414867e-08,1.2782396829087585e-08,2,3.012718037819096e-07,2.5686472630259487e-07
-1.1762530030400892e-09,-4.689013682963312e-10,-1.7450732482427928e-09,-5.910957281809249e-08,-1.037122167407297e-08,1.4033850176946531e-08,6.915721157419304e-09,2,3.012718037819096e-07,2.4935035300453073e-07
-1.408551901860136e-09,-4.961689618738787e-10,-1.8288769570942517e-09,-6.136404889936408e-08,-1.056670061591183e-08,1.4737508191496978e-08,-4.488909667269718e-09,2,3.012718037819096e-07,2.3585605497003267e-07
-1.6464100972486028e-09,-5.091825870275827e-10,-1.8809196195429394e-09,-6.20134064404324e-08,-1.04605554661118e-08,1.5244373567328696e-08,-1.4530210810552505e-08,2,3.012718037819096e-07,2.2547549232832245e-07
-9.89324571721699e-09,1.7223154892198934e-10,-2.169253330709637e-09,-2.0346759268157187e-08,-9.079380386165347e-09,1.2315992578575844e-08,8.803737686195222e-09,3,3.012718037819096e-07,2.810751268933535e-07
-9.484813745026507e-09,1.793954185429361e-10,-2.13615485086298e-09,-1.974316033549647e-08,-7.71079280263725e-09,1.2502483516359514e-08,4.88427934218891e-09,3,3.012718037819096e-07,2.797630403249777e-07
-8.61505820603097e-09,1.920763346361393e-10,-2.0631692608927033e-09,-1.8155228604864612e-08,-4.972503491190457e-09,1.2746387775637592e-08,-2.9789700401784583e-09,3,3.012718037819096e-07,2.774253382890261e-07
-7.746657345766363e-09,2.0154377518888098e-10,-1.987480379868276e-09,-1.619908934819503e-08,-2.4589300941833767e-09,1.2798507069325935e-08,-1.0233970419307107e-08,3,3.012718037819096e-07,2.7564572703910425e-07
2.19732319400165e-08,3.270793541467145e-10,2.3263050321473894e-09,1.4031640926468374e-08,-6.4059233170623165e-09,-2.7184626144749065e-09,1.0571161370592473e-08,4,3.012718037819096e-07,3.413768364737438e-07
2.23619848963435e-08,3.678179629133998e-10,2.3377925609919565e-09,1.4126566088493842e-08,-6.709091107567556e-09,-2.720931947450542e-09,6.419451823479088e-09,4,3.012718037819096e-07,3.374553940591133e-07
2.2824205428206365e-08,4.4343300883646734e-10,2.3250480513314896e-09,1.4009909535364805e-08,-7.406589337305875e-09,-2.719071744258098e-09,-3.0854553609107116e-09,4,3.012718037819096e-07,3.27663283363174e-07
2.2832521469413195e-08,5.050882115206207e-10,2.2663191943450768e-09,1.3499663769430497e-08,-8.172244669465422e-09,-2.7080776659720434e-09,-1.3393828016610578e-08,4,3.012718037819096e-07,3.161012460745709e-07
-1.0801465272916513e-08,4.581907952220811e-11,-1.2149996626546918e-10,1.5030428824957995e-08,-1.3047937930712598e-08,-5.1449100713512995e-09,1.1319441317865937e-08,5,3.012718037819096e-07,2.9855167976300986e-07
-1.1145689411411696e-08,3.6039781783948705e-11,-1.4335403240444898e-10,1.514898704175822e-08,-1.3438421566693409e-08,-5.196652663091031e-09,6.614835939635337e-09,5,3.012718037819096e-07,2.931475488714865e-07
-1.1719185012934815e-08,1.5484316515183115e-11,-1.9197600959239205e-10,1.5113682725814254e-08,-1.417275243858195e-08,-5.251147184019049e-09,-3.540101192227234e-09,5,3.012718037819096e-07,2.815258089868836e-07
-1.2094039531087482e-08,-4.695733942690425e-12,-2.430874804674101e-10,1.4723031949408486e-08,-1.4789698664926283e-08,-5.2362772564630686e-09,-1.3844100605652243e-08,5,3.012718037819096e-07,2.697829364587789e-07
-2.2931527691585797e-09,-4.730460657632859e-10,-7.476874843276488e-09,2.6332232149233597e-09,-1.3876886531917822e-08,1.0855393481747381e-08,1.1588801064577416e-08,6,3.012718037819096e-07,3.022292613330416e-07
